date,open,high,low,close,volume,cnt_ai,cnt_war,avg_tone,return,log_return
2021-05-11,17.2,20.3,17.055,20.21,203230500,12.0,457704.0,-1.6588859898312187,0.09420682187330809,0.09002973720438145
2021-05-12,20.0,20.0,18.51,18.89,128281500,75.0,468505.0,-1.6949041571137695,-0.06531420089064821,-0.06754484990211163
2021-05-13,19.14,19.47,17.82,18.37,87811600,12.0,427321.0,-1.5086782976046529,-0.027527792482795133,-0.02791378228638397
2021-05-14,18.82,20.2,18.53,20.08,79409500,65.0,424904.0,-1.670688069735334,0.09308655416439837,0.08900539559649401
2021-05-17,19.73,20.49,19.63,20.46,50039600,5.0,443019.0,-1.5394377692022292,0.018924302788844827,0.018747465699952226
2021-05-18,20.52,21.62,20.26,21.24,59672400,11.0,449867.0,-1.4477415884724134,0.038123167155425186,0.03741443585025728
2021-05-19,20.1,21.035,19.94,20.67,45314000,14.0,449089.0,-1.451057389359086,-0.026836158192090287,-0.027202822680060912
2021-05-20,20.75,20.81,20.28,20.61,46302400,14.0,450130.0,-1.365733804631604,-0.002902757619738905,-0.0029069787913091893
2021-05-21,20.84,21.16,20.47,20.75,35372900,11.0,417709.0,-1.3275382373393687,0.00679281901989337,0.006769851774339752
2021-05-24,21.06,21.52,20.675,21.22,46596800,5.0,371021.0,-1.561382432471775,0.022650602409638454,0.02239788650912944
2021-05-25,21.42,22.11,21.28,21.48,49890800,11.0,437766.0,-1.4940421712189984,0.01225259189443939,0.012178136454827015
2021-05-26,21.58,22.24,21.49,22.12,42958300,14.0,403250.0,-1.5160284519227016,0.029795158286778367,0.02935990701347002
2021-05-27,22.01,22.7,21.65,22.7,76230500,14.0,445503.0,-1.4455479379482856,0.026220614828209587,0.025882747833223085
2021-05-28,23.0,24.75,22.76,22.95,111846000,52.0,408710.0,-1.4304825720958347,0.011013215859030812,0.010953012019196962
2021-06-01,23.19,23.35,22.36,23.06,52695500,5.0,371648.0,-1.3347604937555912,0.004793028322439996,0.0047815783343589935
2021-06-02,23.02,24.84,22.82,24.45,86473200,7.0,392582.0,-1.3168403232667931,0.0602775368603643,0.05853070107996805
2021-06-03,24.14,24.26,23.34,23.63,48164200,15.0,370794.0,-1.2415142650536994,-0.03353783231083851,-0.034113124722064736
2021-06-04,23.71,24.49,23.5,24.03,42537600,67.0,368368.0,-1.373636935530932,0.016927634363097743,0.01678595854956111
2021-06-07,24.0,24.76,23.79,24.46,49641000,23.0,373232.0,-1.3040521356287589,0.017894298793175167,0.01773608051064901
2021-06-08,24.85,25.23,23.93,24.38,53488600,25.0,422209.0,-1.4793623278361403,-0.003270645952575757,-0.003276006205901183
2021-06-09,24.45,24.74,24.17,24.17,36006200,7.0,404944.0,-1.381150788818608,-0.008613617719442024,-0.008650929337733704
2021-06-10,24.0,24.39,23.44,24.14,35482900,11.0,409742.0,-1.3525964518761218,-0.0012412081092263438,-0.00124197904600587
2021-06-11,24.12,24.71,24.03,24.67,33113100,21.0,371254.0,-1.2874267174885112,0.021955260977630564,0.02171771487187968
2021-06-14,24.73,25.15,24.47,25.0,51801500,6.0,328909.0,-1.3835988940747208,0.01337657073368459,0.013287894326935223
2021-06-15,25.03,25.55,24.39,24.41,46693200,17.0,406153.0,-1.3738390832878746,-0.023599999999999954,-0.02388294046333206
2021-06-16,24.09,24.94,23.86,24.8,58452600,50.0,406455.0,-1.287871090187676,0.015977058582548054,0.015850768766068057
2021-06-17,24.68,25.46,24.55,25.45,64408400,12.0,410067.0,-1.2692084395962526,0.02620967741935476,0.02587208982559508
2021-06-18,25.59,25.94,25.02,25.37,65852600,10.0,368723.0,-1.3217416948694491,-0.003143418467583481,-0.00314836938534091
2021-06-21,25.1,25.55,24.51,25.42,54805000,7.0,340640.0,-1.2474721136840152,0.0019708316909736734,0.0019688921501175294
2021-06-22,25.39,25.52,24.96,25.4,46171100,12.0,380453.0,-1.3954590101018698,-0.0007867820613691734,-0.0007870917368175689
2021-06-23,25.46,26.35,25.34,26.27,53362200,6.0,421975.0,-1.399124559486723,0.03425196850393708,0.033678429672957755
2021-06-24,26.49,26.71,26.17,26.53,48419400,18.0,516305.0,-1.400242511018058,0.009897221164826941,0.009848564452199948
2021-06-25,26.58,27.01,26.245,26.78,140832700,74.0,404747.0,-1.4317741033631457,0.009423294383716474,0.009379172113378242
2021-06-28,26.98,27.5,26.86,27.38,42184600,38.0,418780.0,-1.1457507337365207,0.02240477968633292,0.022157479597276097
2021-06-29,27.38,27.44,26.44,26.63,38478900,19.0,375170.0,-1.193176135078741,-0.027392257121986896,-0.027774420034461844
2021-06-30,26.48,26.92,26.21,26.36,28957100,44.0,422283.0,-1.2814821957378428,-0.010138941043935423,-0.01019069019153429
2021-07-01,26.1,26.13,24.59,24.72,55429800,15.0,409363.0,-1.210144994851181,-0.06221547799696514,-0.06423507704481679
2021-07-02,25.0,25.34,24.33,24.44,29389500,145.0,381435.0,-1.420888951639948,-0.01132686084142387,-0.011391498286095203
2021-07-06,24.6,25.2,24.47,24.68,28764500,16.0,365619.0,-1.4559535681253633,0.009819967266775809,0.00977206473379244
2021-07-07,24.23,24.26,22.72,22.89,66937300,26.0,379339.0,-1.4540482677634867,-0.07252836304700161,-0.0752930650727115
2021-07-08,22.43,23.21,22.25,23.08,34612600,87.0,398597.0,-1.4901591125514022,0.00830056793359546,0.008266307675423246
2021-07-09,22.96,23.39,22.76,23.29,22492400,144.0,365970.0,-1.4884760386602347,0.009098786828422911,0.00905764225635064
2021-07-12,23.26,23.495,22.88,22.95,23457200,18.0,341288.0,-1.4500301512457894,-0.014598540145985384,-0.014706147389695445
2021-07-13,22.98,22.99,22.42,22.45,24748800,12.0,374287.0,-1.4610122226537612,-0.02178649237472763,-0.022027322318290743
2021-07-14,22.49,22.62,21.51,21.56,33796200,12.0,403761.0,-1.5031243496793567,-0.039643652561247245,-0.04045086814746712
2021-07-15,21.72,22.055,21.01,21.47,31871000,24.0,387030.0,-1.614834690536438,-0.004174397031539878,-0.0041831341501064045
2021-07-16,21.6,21.71,21.24,21.37,19503100,9.0,348986.0,-1.6415043614490497,-0.004657661853749273,-0.004668542559633337
2021-07-19,20.97,21.69,20.55,21.54,30314400,315.0,314622.0,-1.5169948036927867,0.007955077211043493,0.007923602397186258
2021-07-20,21.63,22.35,21.22,22.18,22954000,9.0,335928.0,-1.4694072524674102,0.029712163416898862,0.029279310193978336
2021-07-21,22.27,22.68,22.12,22.52,20437300,10.0,333858.0,-1.5877264270985485,0.015329125338142457,0.015212821349268602
2021-07-22,22.55,22.67,21.88,22.07,17468900,9.0,335901.0,-1.562644994831215,-0.019982238010657127,-0.020184583002844647
2021-07-23,22.01,22.08,21.51,21.81,17653300,42.0,314148.0,-1.515616350464141,-0.011780697779791627,-0.011850640055107498
2021-07-26,21.8,22.3,21.48,22.13,16267900,1.0,330476.0,-1.5003336070894968,0.014672168729940482,0.014565573849421032
2021-07-27,21.96,22.11,21.09,21.68,23078700,33.0,368311.0,-1.5573879239041517,-0.02033438770899232,-0.020543977491513044
2021-07-28,21.75,22.615,21.69,22.56,25073600,21.0,345192.0,-1.4089620076055267,0.040590405904058935,0.0397882500584128
2021-07-29,22.78,22.85,22.14,22.18,19219100,5.0,310587.0,-1.3228619695944246,-0.016843971631205656,-0.016987444707637245
2021-07-30,21.85,22.406,21.71,21.71,15889200,3.0,279191.0,-1.5600299437587142,-0.021190261496844,-0.021417998032020602
2021-08-02,21.91,22.37,21.48,22.1,21372900,7.0,259531.0,-1.5324905338191523,0.017964071856287456,0.017804624633506627
2021-08-03,22.03,22.27,21.71,22.24,17040100,18.0,266891.0,-1.6109809400981727,0.0063348416289590315,0.00631486085867472
